lambda	n	k
0.3542	1.740	1.848
0.3647	1.716	1.862
0.3757	1.696	1.906
0.3875	1.674	1.936
0.4000	1.658	1.956
0.4133	1.636	1.958
0.4275	1.616	1.940
0.4428	1.562	1.904
0.4592	1.426	1.846
0.4769	1.242	1.796
0.4959	0.916	1.840
0.5166	0.608	2.120
0.5391	0.402	2.540
0.5636	0.306	2.88
0.6526	0.166	3.15
0.6888	0.160	3.80
0.7293	0.164	4.35
0.7749	0.174	4.86
0.8266	0.188	5.39
0.8856	0.210	5.88
0.9537	0.236	6.47
1.033	0.272	7.07
1.127	0.312	7.93
1.240	0.372	8.77
1.265	0.389	8.09
1.291	0.403	8.25
1.319	0.419	8.42
1.378	0.436	8.59
1.384	0.454	8.77
1.409	0.473	8.96
1.442	0.493	9.15
1.476	0.515	9.36
1.512	0.537	9.58
1.550	0.559	9.81
1.590	0.583	10.1
1.631	0.609	10.3
1.675	0.636	10.6
1.722	0.665	10.9
1.771	0.696	11.2
1.879	0.730	11.5
1.923	0.767	11.9
1.937	0.807	12.2
2.000	0.850	12.6
2.066	0.896	13.0
2.138	0.947	13.4
2.214	1.002	13.9
2.296	1.063	14.4
2.384	1.130	14.9
2.480	1.205	15.5
2.583	1.287	16.1
2.695	1.379	16.8
2.818	1.482	17.5
2.952	1.598	18.3
3.100	1.728	19.2
3.179	1.800	19.7
3.263	1.876	20.2
3.351	1.958	20.7
3.444	2.046	21.3
3.542	2.141	21.9
3.647	2.242	22.5
3.757	2.352	23.1
3.875	2.471	23.9
4.000	2.600	24.6
4.133	2.749	25.4
4.275	2.912	26.3
4.428	3.091	27.2
4.592	3.289	28.2
4.769	3.507	29.3
4.959	3.748	30.5
5.166	4.007	31.7
5.391	4.292	32.9
5.636	4.611	34.3
5.904	4.971	35.9
6.199	5.423	37.5
6.358	5.684	38.3
6.526	5.966	39.1
6.702	6.270	40.1
6.888	6.598	41.0
7.085	6.937	42.0
7.293	7.282	43.0
7.514	7.655	44.1
7.749	8.060	45.2
7.999	8.500	46.4
8.266	9.016	47.6
8.551	9.582	48.8
8.856	10.210	50.2
9.184	10.840	51.6
9.537	11.510	53.1
9.919	12.240	54.7
